entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase,fecha_de_publicacion_fase_1,fecha_de_publicacion,fecha_de_publicacion_fase_2,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS PERLA DEL MANACACIAS,822001468,Meta,Puerto Gaitán,Territorial,Centralizada,CO1.REQ.8441860,20250285,718458656,CO1.BDOS.8292429,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN LAS ACTIVIDADES PROPIAS DE LA SUBGERENCIA COMERCIAL DE LA EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DOMICILIARIOS PERLA DEL MANACACÍAS ESP E.I.C.E.,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN EN LAS ACTIVIDADES PROPIAS DE LA SUBGERENCIA COMERCIAL DE LA EMPRESA MUNICIPAL DE SERVICIOS PÚBLICOS DOMICILIARIOS PERLA DEL MANACACÍAS ESP E.I.C.E.,Presentación de oferta,2025-06-19T00:00:00.000,2025-06-19T00:00:00.000,,,,,2025-06-19T00:00:00.000,7200000,Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Puerto Gaitán,PRESTACION DE SERVICIOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8314387,718458656,Presentación de oferta
INSTITUTO COLOMBIANO AGROPECUARIO - ICA,899999069,Distrito Capital de Bogotá,Bogotá,Nacional,Descentralizada,CO1.REQ.2106035,SAF-SAN-0002-V2-2021,702523150,CO1.BDOS.2048536,Prestación de servicios para el apoyo en la gestión de las diferentes actividades administrativas que se desarrollan en la Seccional Santander con sede en Bucaramanga..,"Prestación de servicios para el apoyo en la gestión de las diferentes
actividades administrativas que se desarrollan en la Seccional Santander con sede en Bucaramanga..",Fase de ofertas,2021-06-24T00:00:00.000,2021-06-24T00:00:00.000,,,,,2021-06-24T00:00:00.000,17765000,Contratación directa,Servicios profesionales y apoyo a la gestión,190,día(s),,,,Bogotá,GRUPO GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2051105,702523150,Fase de ofertas
ESE HOSPITAL MENTAL RUDESINDO SOTO,890500810,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.3554244,HMRS-CT-323-2022,704486331,CO1.BDOS.3462038,PRESTACION DE SERVICIOS PROFESIONALES COMO TRABAJADORA SOCIAL,"CONTRATO DE PRESTACION DE SERVICIOS  COMO TRABAJADOR SOCIAL  PARA EL PROYECTO DE IMPLEMENTACION DE  FORTALECIMIENTO ESTRUCTURACION IMPLEMENTACION Y DESARROLLO DEL DISPOSITIVO COMUNITARIO CENTRO DE ESCUCHA EN SALUD MENTAL DIRIGIDO A LAS POBLACIONES HABITANTE DE CALLE UBICADOS EN LA ZONA CENTRO, CAOBOS, ALFONSO LOPEZ (TOMATERA) BELEN (PUNTA BRAVA) ATALAYA SECTOR LA FLORIDA Y POBLACION PRIVADA DE LA LIBERTAD UBICADOS EN EL MUNICIPIO DE SAN JOSE DE CUCUTA",Presentación de oferta,2022-11-01T00:00:00.000,2022-11-01T00:00:00.000,,,,,2022-11-01T00:00:00.000,6000000,Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Cúcuta,CONTRATACION-2022,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93141507,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3468291,704486331,Presentación de oferta
ESE HOSPITAL MUNICIPAL DE SABANAGRANDE,802003081,Atlántico,No Definido,Territorial,Centralizada,CO1.REQ.8776695,2025-010762,702380296,CO1.BDOS.8621134,NINI JOHANA VALENCIA CASTRO,PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERIA EN EL AREA DE URGENCIAS  DE LA E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,Presentación de oferta,2025-08-22T00:00:00.000,2025-08-22T00:00:00.000,,,,,2025-08-22T00:00:00.000,5400000,Contratación régimen especial,Regla aplicable,91,día(s),,,,Sabanagrande,SECRETARIA GENERAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8643866,702380296,Presentación de oferta
EMPRESA COLOMBIANA DE PETROLEOS,899999068,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.5990928,5204517,709072474,CO1.BDOS.5872926,COMPRA DE CINTAS Y TOALLAS DE MANOS,COMPRA DE CINTAS Y TOALLAS DE MANOS,Presentación de oferta,2024-03-21T00:00:00.000,2024-03-21T00:00:00.000,,,,,2024-03-21T00:00:00.000,265136,Contratación régimen especial,Regla aplicable,13,día(s),,,,Bogotá,Departamento de Compras,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.41114201,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5879174,709072474,Presentación de oferta
CAMARA DE REPRESENTANTES,899999098,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.2752569,CPS_0771_2022,701337164,CO1.BDOS.2677416,CPS_0771_2022,PRESTAR SERVICIOS DE APOYO A LA GESTIÓN EN LABORES ADMINISTRATIVAS QUE SE RELACIONEN CON LA GESTIÓN DOCUMENTAL Y LOS ARCHIVOS DE LA CÁMARA DE REPRESENTANTES.,Presentación de oferta,2022-01-23T00:00:00.000,2022-01-23T00:00:00.000,,,,,2022-01-23T00:00:00.000,20250000,Contratación directa,Servicios profesionales y apoyo a la gestión,225,día(s),,,,Bogotá,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2678276,701337164,Presentación de oferta
GOBERNACIÓN DEL DEPARTAMENTO ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,892400038,"San Andrés, Providencia y Santa Catalina",San Andrés,Territorial,Centralizada,CO1.REQ.2104693,CD-SIN-1622-2021,702318460,CO1.BDOS.2044104,PRESENTACIÓN DE SERVICIOS APOYO A LA GESTIÓN LIMPIEZA DE LA INFRAESTRUCTURA DE MANEJO DE AGUAS LLUVIAS Y VÍAS (LIMPIEZA MANUAL DE CANALES Y VÍAS NO PAVIMENTADAS),PRESENTACIÓN DE SERVICIOS APOYO A LA GESTIÓN LIMPIEZA DE LA INFRAESTRUCTURA DE MANEJO DE AGUAS LLUVIAS Y VÍAS (LIMPIEZA MANUAL DE CANALES Y VÍAS NO PAVIMENTADAS),Fase de ofertas,2021-06-22T00:00:00.000,2021-06-22T00:00:00.000,,,,,2021-06-22T00:00:00.000,5588916,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),,,,San Andrés,Secretaría de Infraestructura,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2047926,702318460,Fase de ofertas
SENA REGIONAL META Grupo de Apoyo Administrativo Mixto,899999034,Meta,No Definido,Nacional,Centralizada,CO1.REQ.1644747,SAMC-RM-CISM-001-2020 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),704156108,CO1.BDOS.1574343,COMPRA DE EQUIPOS ESPECIALIZADOS SENNOVA (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),Compra de equipos especializados para el desarrollo del proyecto de modernización tecnológica SENNOVA denominado  Fortalecimiento de la capacidad tecnológica para la formación de talento humano en catastro multipropósito para la región de los llanos orientales y amazonia. Vigencia 2020 .,Presentación de oferta,2020-12-04T00:00:00.000,2020-12-04T00:00:00.000,,,,,2020-12-04T00:00:00.000,201060632,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,10,día(s),2020-12-07T00:00:00.000,2020-12-07T00:00:00.000,2020-12-07T00:00:00.000,No Aplica,CONTRATACION CISM 2026,6,6,15,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.914737,701830234,Distrito Capital de Bogotá,Bogotá,2020-12-16T00:00:00.000,192499041,LAURA DANIELA HENAO BLANCO,Geosystem Ingenieria S.A.S,830051298,V1.43221722,Cerrado,Compraventa,No Definido,"V141111615, V141114207",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1594648,704156108,Adjudicado
DEPARTAMENTO DE ANTIOQUIA//,890900286,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.9375699,16964,700256027,CO1.BDOS.9208058,16964 Comfama Apoyo Logistico,"Prestar apoyo logístico para el fortalecimiento y la ejecución de los programas, proyectos, actividades y funciones inherentes a la Secretaría de Talento Humano y Servicios administrativos, con el fin de mejorar la calidad de vida de los servidores públicos, sus familias, y actividades con los practicantes.",Presentación de oferta,2025-12-02T00:00:00.000,2025-12-02T00:00:00.000,,,,,2025-12-02T00:00:00.000,2680000000,Contratación directa,Servicios profesionales y apoyo a la gestión,370,día(s),,,,No Aplica,173H SECRETARIA DE TALENTO HUMANO Y SERVICIOS ADMINISTRATIVOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.90111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9234703,700256027,Presentación de oferta
ALCALDÍA DE POPAYÁN,891580006,Cauca,Popayán,Territorial,Centralizada,CO1.REQ.3951803,MP-SE-CD-053-2023,703038141,CO1.BDOS.3805280,PRESTAR SERVICIOS PROFESIONALES BRINDANDO APOYO PARA EL DESARROLLO DEL PROCESO DE OPTIMIZACION ADMINISTRATIVA DE LA SECRETARIA DE EDUCACION,PRESTAR LOS SERVICIOS PROFESIONALES BRINDANDO APOYO PARA EL DESARROLLO DEL PROCESO DE OPTIMIZACION ADMINISTRATIVA DE LA SECRETARIA DE EDUCACION CERTIFICADA DEL MUNICIPIO DE POPAYAN EN EL MARCO DEL PROYECTO DENOMINADO INCORPORACION DE RECURSOS PARA LA PRESTACION DEL SERVICIO EDUCATIVO EN LAS 42 I.E OFICIALES DEL MUNICPIO DE POPAYAN,Fase de ofertas,2023-01-29T00:00:00.000,2023-01-29T00:00:00.000,,,,,2023-01-29T00:00:00.000,14500000,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),,,,Popayán,SECRETARIA DE EDUCACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3871881,703038141,Fase de ofertas
