entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase,fecha_de_publicacion_fase_1,fecha_de_publicacion,fecha_de_publicacion_fase_2,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
GOBERNACION DEL CAQUETA**,800091594,Caquetá,No Definido,Territorial,Centralizada,CO1.REQ.6622444,DC-SA-DIRECTA-626-2024,703688838,CO1.BDOS.6496699,SERVICIOS PROFESIONALES,"Prestar los servicios profesionales de apoyo en la ejecución del Plan de Acción 2024 desde el enfoque diferencial poblacional y territorial en el marco de la Política de Participación Social en Salud, así como apoyar las asistencias técnicas dirigidas a las entidades e instituciones competencia del Departamento del Caquetá",Presentación de oferta,2024-08-09T00:00:00.000,2024-08-09T00:00:00.000,,,,,2024-08-09T00:00:00.000,24300000,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),,,,Florencia,DEPARTAMENTO DE CAQUETÁ,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101707,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6523829,703688838,Presentación de oferta
SUBRED INTEGRADA DE SERVICIOS DE SALUD NORTE E.S.E. (OFICIAL),900971006,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.7617301,CPS-0674-2025,702729500,CO1.BDOS.7482130,PRESTAR SERVICIOS PROFESIONALES Y APOYO A LA GESTION,PROFESIONAL MEDICO DE URGENCIAS Y HOSPITALIZACION,Presentación de oferta,2025-01-30T00:00:00.000,2025-01-30T00:00:00.000,,,,,2025-01-30T00:00:00.000,14296680,Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Bogotá,DIRECCIÓN DE CONTRATACIÓN - COMPRAS,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7496213,702729500,Presentación de oferta
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,899999230,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.8699586,4501-2025-32,701798407,CO1.BDOS.8545039,Prestar los servicios profesionales de manera temporal y autónoma a través de vinculación por contrato de prestación de servicios; en los procesos de formación para el aprendizaje del idioma inglés y/,"Prestar los servicios profesionales de manera temporal y autónoma a través de vinculación por
Contrato de Prestación de Servicios, en los procesos de formación para el aprendizaje del idioma
inglés y/o francés y/o, alemán y/o italiano y/o portugués y/o mandarín y/o español para extranjeros
durante el tercer bimestre en los cursos de Educación para el Trabajo Desarrollo Humano que ofrece
el Instituto de Lenguas de la Universidad Distrital Francisco José de Caldas.",Fase de ofertas,2025-08-06T00:00:00.000,2025-08-06T00:00:00.000,,,,,2025-08-06T00:00:00.000,3454608,Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Bogotá,IDEXUD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8567135,701798407,Fase de ofertas
INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,800194096,Antioquia,Medellín,Territorial,Centralizada,CO1.REQ.2879906,6700023983,700774011,CO1.BDOS.2803115,Prestar los servicios de apoyo a las actividades priorizadas dentro del marco del Programa de Planeación Local y Presupuesto Participativo del INDER; promoviendo actividades recreativas como guías en,"Prestar los servicios de apoyo a las actividades priorizadas dentro del marco del Programa de Planeación Local y Presupuesto Participativo del INDER, promoviendo actividades recreativas como guías en las cuadras y barrios del municipio de Medellín",Fase de ofertas,2022-02-01T00:00:00.000,2022-02-01T00:00:00.000,,,,,2022-02-01T00:00:00.000,5678400,Contratación directa,Servicios profesionales y apoyo a la gestión,105,día(s),,,,Medellín,PL Y PP,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2808470,700774011,Fase de ofertas
CORPORACION DE CULTURA Y TURISMO DE ARMENIA,890000957,Quindío,Armenia,Territorial,Centralizada,CO1.REQ.2830766,CCTA-PSAG-032-2022,701855249,CO1.BDOS.2754307,SEMILLERO DE DANZA PARA ADULTO MAYOR,CONTRATO DE PRESTACION DE SERVICIOS PARA APOYAR UN PROCESO DE CAPACITACIÓN -SEMILLERO ARTISTICO EN EL AREA DE DANZA A LA POBLACIÓN DE ADULTO MAYOR DE LA CIUDAD DE ARMENIA,Presentación de oferta,2022-01-27T00:00:00.000,2022-01-27T00:00:00.000,,,,,2022-01-27T00:00:00.000,9200000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),,,,Armenia,CONTRATACIÓN CORPOCULTURA,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.82151700,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2755868,701855249,Presentación de oferta
ESE CENTRO,805027261,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.3552879,OC 2022-1882,704259860,CO1.BDOS.3444723,COMPRA DE PUERTA PARA LABORATORIO MOLECULAR,COMPRA DE PUERTA PARA LABORATORIO MOLECULAR,Presentación de oferta,2022-11-01T00:00:00.000,2022-11-01T00:00:00.000,,,,,2022-11-01T00:00:00.000,1471000,Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),,,,Cali,GESTION DE INSUMOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.30171500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3467370,704259860,Presentación de oferta
HOSPITAL SAN VICENTE DE PAUL FRESNO TOLIMA,890700901,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.5490788,HSVP-PS-010-2024,704573468,CO1.BDOS.5372793,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO GENERAL DEL HOSPITAL SAN VICENTE DE PAÚL ESE,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO GENERAL DEL HOSPITAL SAN VICENTE DE PAÚL ESE,Presentación de oferta,2024-01-04T00:00:00.000,2024-01-04T00:00:00.000,,,,,2024-01-04T00:00:00.000,36000000,Contratación régimen especial,Decreto 092 de 2017,4,Mes(es),,,,Fresno,AREA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5384887,704573468,Presentación de oferta
MINISTERIO DE MINAS Y ENERGIA,899999022,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.452960,CM-11-2018 (Presentación de oferta),700077019,CO1.BDOS.427809,ESTUDIO DE CALIDAD Y CUMPLIMIENTO DE PARÁMETROS DE LAS GASOLINAS  (Presentación de oferta),"Contratar los servicios de una consultoría para FORMULAR UNA PROPUESTA DE ACTUALIZACIÓN DE LA NORMA DE CALIDAD DE LAS GASOLINAS NACIONALES, ASÍ COMO LA EVALUACIÓN DEL CUMPLIMIENTO DE LOS PARÁMETROS DE CALIDAD DEL ETANOL ANHIDRO COMBUSTIBLE, EL ETANOL ANHIDRO COMBUSTIBLE DESNATURALIZADO Y EL DIESEL Y SUS MEZCLAS CON BIOCOMBUSTIBLES.",Presentación de oferta,2018-06-08T00:00:00.000,2018-06-08T00:00:00.000,,,,,2018-06-08T00:00:00.000,1196790179,Concurso de méritos abierto,Ley 1150 de 2007,5,Mes(es),2018-06-26T00:00:00.000,2018-06-26T00:00:00.000,2018-07-19T00:00:00.000,Bogotá,Gestión contractual,0,0,61,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.317205,700698038,Distrito Capital de Bogotá,No Definido,2018-07-24T00:00:00.000,1005706033,ANA MARIA OSPINO ESCOBAR,UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,V1.71151000,Cerrado,Consultoría,No Definido,"V180101500, V180101509, V180101600",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.439918,700077019,Adjudicado
HMI,802013023,Atlántico,Soledad,Territorial,Descentralizada,CO1.REQ.10214093,TH-2026-1228,703176586,CO1.BDOS.10046047,PRESTACION DE SERVICIOS PROFESIONALES PARA APOYAR PROCESOS  ADMINISTRATIVOS EN FACTURACION CENTRAL,PRESTACION DE SERVICIOS PROFESIONALES PARA APOYAR PROCESOS  ADMINISTRATIVOS EN FACTURACION CENTRAL,Presentación de oferta,2026-02-27T00:00:00.000,2026-02-27T00:00:00.000,,,,,2026-02-27T00:00:00.000,3000000,Contratación régimen especial,Decreto 092 de 2017,1,Mes(es),,,,Soledad,OFICINA DE CONTRATACION PUBLICACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10077946,703176586,Presentación de oferta
GOBERNACION DEL CASANARE,892099216,Casanare,Yopal,Territorial,Centralizada,CO1.REQ.4518677,CAS-OAJ-CDPSP-0632-2023,706091220,CO1.BDOS.4417477,BRINDAR ASESORIA JURÍDICA EN LA REVISIÓN Y APROBACION DE ESTUDIOS PREVIOS; ACOMPAÑAMIENTO EN EL COMPONENTE JURIDICO PARA LOS PROCESOS DE SELECCION Y PROYECCION DE ACTOS ADMINISTRATIVOS; QUE TIENE A CA,"BRINDAR ASESORIA JURÍDICA EN LA REVISIÓN Y APROBACION DE ESTUDIOS PREVIOS, ACOMPAÑAMIENTO EN EL COMPONENTE JURIDICO PARA LOS PROCESOS DE SELECCION Y PROYECCION DE ACTOS ADMINISTRATIVOS, QUE TIENE A CARGO LA OFICINA ASESORA JURIDICA",Presentación de oferta,2023-05-15T00:00:00.000,2023-05-15T00:00:00.000,,,,,2023-05-15T00:00:00.000,26389440,Contratación directa,Servicios profesionales y apoyo a la gestión,7,Mes(es),,,,No Aplica,UNIDADJURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4420266,706091220,Presentación de oferta
COLEGIO IED NUEVO HORIZONTE,830011856,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.8214650,CNH-13-2025,704290915,CO1.BDOS.8071057,Contratar la adquisición; diseño; elaboración; toma de fotos; impresión del carnet y sumi-nistro de elementos para el control de asistencia para los estudiantes del colegio; según plan de inversión,No definido,Presentación de oferta,2025-05-06T00:00:00.000,2025-05-06T00:00:00.000,,,,,2025-05-06T00:00:00.000,5593600,Contratación régimen especial,Decreto 092 de 2017,45,día(s),,,,Bogotá,COLEGIO NUEVO HORIZONTE IED,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.82131604,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8089540,704290915,Presentación de oferta
