entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase,fecha_de_publicacion_fase_1,fecha_de_publicacion,fecha_de_publicacion_fase_2,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_apertura_efectiva,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,fecha_adjudicacion,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen
UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.7788984,UNAL-OSE-2025-2061-11,700698038,CO1.BDOS.7652920,PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR ACTIVIDADES DE COORDINACIÓN FINANCIERA Y ADMINISTRATIVA; EN EL MARCO DEL PROYECTO TRANSFORMANDO LOS SISTEMAS ALIMENTARIOS PARA MEJORAR LOS MEDIOS DE VIDA,"PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR ACTIVIDADES DE COORDINACIÓN FINANCIERA Y ADMINISTRATIVA;
EN EL MARCO DEL PROYECTO TRANSFORMANDO LOS SISTEMAS ALIMENTARIOS PARA MEJORAR LOS MEDIOS DE VIDA Y
LA SOSTENIBILIDAD AMBIENTAL EN DOS TERRITORIOS INDÍGENAS DE COLOMBIA DE LA FACULTAD DE CIENCIAS
AGRARIAS, DE LA UNIVERSIDAD NACIONAL DE COLOMBIA, SEDE BOGOTÁ.",Presentación de oferta,2025-02-18T00:00:00.000,2025-02-18T00:00:00.000,,,,,2025-02-18T00:00:00.000,40800000,Contratación régimen especial,Decreto 092 de 2017,214,día(s),,,,Bogotá,Bogotá Fac. Ciencias Agrarias,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7667865,700698038,Presentación de oferta
UNIMAGDALENA,891780111,Magdalena,Santa Marta,Territorial,Centralizada,CO1.REQ.8617248,OPSP-CREO-0071-2025,704242254,CO1.BDOS.8465106,SERVICIOS PROFESIONALES PARA EL DESARROLLO DE ACTIVIDADES DE APOYO EN TRÁMITES CON EL GRUPO DE CRÉDITO Y CARTERA EN EL CREO,"DESARROLLAR LAS SIGUIENTES ACTIVIDADES DE APOYO EN TRÁMITES CON EL GRUPO DE CRÉDITO Y CARTERA DURANTE EL PERIODO 2025-II, EN EL CENTRO PARA LA REGIONALIZACIÓN DE LA EDUCACIÓN Y LAS OPORTUNIDADES-CREO: 1.) APOYAR CON LA ATENCIÓN AL PÚBLICO EN GENERAL DEL CREO QUE REQUIERAN EL SERVICIO DEL GRUPO DE CREDITO Y CARTERA. 2,) APOYAR CON LA RECEPCIÓN, REVISIÓN, VERIFICACIÓN, CONFIRMACIÓN Y APROBACIÓN DE SOLICITUDES DE CRÉDITO CORTO PLAZO. 3,) APOYAR CON LA RECEPCIÓN, ORGANIZACIÓN Y REGISTRO DE LOS TÍTUL",Presentación de oferta,2025-07-23T00:00:00.000,2025-07-23T00:00:00.000,,,,,2025-07-23T00:00:00.000,13957000,Contratación régimen especial,Regla aplicable,151,día(s),,,,Santa Marta,DEPENDENCIAS ORDENADORAS DE GASTO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8485944,704242254,Presentación de oferta
UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS,899999230,Distrito Capital de Bogotá,No Definido,Territorial,Descentralizada,CO1.REQ.7279847,7723-1-2024,701798407,CO1.BDOS.7144614,Prestar de manera temporal; autónoma e independiente servicios como AUXILIAR ADMINISTRATIVO en el marco del Contrato Interadministrativo CI-0927-2024 con la  Gobernación del Magdalena y la Universidad,"Prestar de manera temporal, autónoma e independiente servicios como AUXILIAR
ADMINISTRATIVO en el marco del Contrato Interadministrativo CI-0927-2024 con la 
Gobernación del Magdalena y la Universidad Distrital Francisco José de Caldas, de acuerdo con 
la oferta presentada por la Universidad, el contrato y la propuesta de servicios, documentos que 
hacen parte integral del presente contrato",Presentación de oferta,2024-12-05T00:00:00.000,2024-12-05T00:00:00.000,,,,,2024-12-05T00:00:00.000,2118800,Contratación régimen especial,Regla aplicable,20,día(s),,,,Bogotá,IDEXUD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7164216,701798407,Presentación de oferta
Empresa Social del Estado Hospital La Candelaria*,800154347,Magdalena,El Banco,Territorial,Centralizada,CO1.REQ.6748402,1251*,703918599,CO1.BDOS.6621116,PRESTACION DE SERVICIOS COMO OPERARIA DE SERVICIOS GENERALES DEL HOSPITAL LA CANDELARIA E.S.E.,PRESTACION DE SERVICIOS COMO OPERARIA DE SERVICIOS GENERALES DEL HOSPITAL LA CANDELARIA E.S.E.,Presentación de oferta,2024-09-06T00:00:00.000,2024-09-06T00:00:00.000,,,,,2024-09-06T00:00:00.000,1240000,Contratación régimen especial,Regla aplicable,1,Mes(es),,,,El Banco,UDC,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76111501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6677286,703918599,Presentación de oferta
COLEGIO MANUELITA SAENZ IED,860532518,No Definido,No Definido,Territorial,Centralizada,CO1.REQ.3538032,CMS-61-2022,703070235,CO1.BDOS.3446388,SERVICIO DE TRANSPORTE DE PASAJEROS,No definido,Presentación de oferta,2022-10-27T00:00:00.000,2022-10-27T00:00:00.000,,,,,2022-10-27T00:00:00.000,9390000,Contratación régimen especial,Decreto 092 de 2017,12,día(s),,,,Bogotá,COLEGIO MANUELITA SAENZ IED,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.20102301,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3452270,703070235,Presentación de oferta
INSTITUCION EDUCATIVA JUAN DE DIOS GIRON,900005408,Valle del Cauca,La Unión,Territorial,Centralizada,CO1.REQ.6216669,IEJDG-01-2024,718160484,CO1.BDOS.6095942,CONTRATO PRESTACION DE SERVICIOS,PRESTACION DE SERVICIOS PROFESIONALES PARA LA GESTION Y ASESORIA CONTABLE DEL FONDO DE SERVICIO EDUCATIVO DE LA INSTITUCION EDUCATIVA  JUAN DE DIOS GIRON EN LA VIGENCIA 2024,Presentación de oferta,2024-05-10T00:00:00.000,2024-05-10T00:00:00.000,,,,,2024-05-10T00:00:00.000,5200000,Contratación régimen especial,Regla aplicable,8,Mes(es),,,,La Unión,RECTORIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6108963,718160484,Presentación de oferta
ALCALDIA LOCAL DE KENNEDY,899999061,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.647046,FDLK-CMA-8-2018 (Presentación de oferta),702292459,CO1.BDOS.616175,CONSULTORÍA VÍCTIMAS (Presentación de oferta),FORMULAR UN PROGRAMA ESPECÍFICO DE PROMOCIÓN DE ESQUEMAS Y PROYECTOS PRODUCTIVOS PARA LA POBLACIÓN VÍCTIMA RESIDENTE EN LA LOCALIDAD DE KENNEDY.,Presentación de oferta,2018-12-07T00:00:00.000,2018-12-07T00:00:00.000,,,,,2018-12-07T00:00:00.000,253175358,Concurso de méritos abierto,Ley 1150 de 2007,4,Mes(es),2018-12-17T00:00:00.000,2018-12-24T00:00:00.000,2018-12-24T00:00:00.000,Bogotá,AREA DE CONTRATOS,0,0,75,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.417916,703791160,Distrito Capital de Bogotá,No Definido,2018-12-27T00:00:00.000,253170000,YENY PAOLA MOSQUERA RODRÍGUEZ,Beta Group Services S.A.S BIC,900883191,V1.80101500,Cerrado,Consultoría,No Definido,"V180101600, V180141501, V180141511, V186132000, V193131703, V193171800",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.620360,702292459,Adjudicado
GOBERNACIÓN VALLE DEL CAUCA -SECRETARIA DE SALUD,890399029,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.5783093,1.220-17.13-070-2024,709404925,CO1.BDOS.5666390,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES Y/O APOYO A LA GESTION,PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN PARA FORTALECER DESDE SU PERFIL A LA SECRETARÍA DEPARTAMENTAL DE SALUD DEL VALLE Y DESARROLLAR ACTIVIDADES ENCAMINADAS A HACER CUMPLIR LAS COMPETENCIAS DE LA ENTIDAD TERRITORIAL,Presentación de oferta,2024-02-19T00:00:00.000,2024-02-19T00:00:00.000,,,,,2024-02-19T00:00:00.000,38500000,Contratación directa,Servicios profesionales y apoyo a la gestión,11,Mes(es),,,,Cali,SECRETARIA DEPARTAMENTAL DE SALUD DEL VALLE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5683376,709404925,Presentación de oferta
ICBF REGIONAL CASANARE,899999239,Casanare,No Definido,Nacional,Centralizada,CO1.REQ.2906707,ICBF-SDC-005-2022-CAS,704153378,CO1.BDOS.2829712,Solicitud cotización servicio de lavado y desinfección de tanques,"Prestar el servicio de lavado y desinfección de tanques en los bienes inmuebles de propiedad y a cargo del ICBF Regional Casanare en los municipios de Yopal, Villanueva y Paz de Ariporo y limpieza de viga canales de la Regional y centro zonal Yopal y centro zonal Paz de Ariporo.",Presentación de oferta,2022-02-18T00:00:00.000,2022-02-18T00:00:00.000,,,,,2022-02-18T00:00:00.000,0,Solicitud de información a los Proveedores,No,10,Mes(es),2022-02-23T00:00:00.000,,2022-02-18T00:00:00.000,No Aplica,REGIONAL ICBF CASANARE,398,0,8,0,3,0,0,3,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76101503,Abierto,No,No Definido,"V172121507, V172154056",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2839834,704153378,Presentación de oferta
SENA SECRETARIA GENERAL,899999034,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.1727729,DG-1023-24-2021,704160753,CO1.BDOS.1677733,JORGE ENRIQUE PEDRAZA SANCHEZ,Prestar los servicios profesionales para acompañar el diseño e implementacion de los diferentes requerimientos gráficos por parte de cada una de la áreas misionales de la Dirección General de acuerdo al manual de identidad corporativa y la estrategia de comunicaciones de la entidad.,Presentación de oferta,2021-01-24T00:00:00.000,2021-01-24T00:00:00.000,,,,,2021-01-24T00:00:00.000,50842891,Contratación directa,Servicios profesionales y apoyo a la gestión,330,día(s),,,,Bogotá,UNIDAD DE CONTRATACIÓN DE LA OFICINA DE COMUNICACIONES,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.82141502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1688538,704160753,Presentación de oferta
